"BreweryName","OWF_ID","OWF_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","Physical_ Address","Municipality","State","ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Municipal_WaterProvider_OWF_ID","Municipal_WaterProvider_OWF_ID_Flag","Latitude","Longitude","Lat_Long_Flag","WaterSource_GNIS_Name","WaterSource_GNIS_Name_Flag","WaterSource_GNIS_ID","WaterSource_GNIS_ID_Flag","Website","Website_Flag","Formation_Year","Formation_Year_Flag"
Anheuser-Busch,AnheuserBusch-FtCollins,G,19871090304,G,2351 Busch Dr,Fort Collins,CO,80524,35009,G,FtCollins,G,40.617477,-105.005117,g1,Cache la Poudre River,G,00205018,G,http://anheuser-busch.com/,G,1998,G1
C.B. and Potts,CBPotts-FtCollins,G,20101029498,G,1441 E Horsetooth Rd,Fort Collins,CO,80525,35009,G,FtCollins,G,40.537613,-105.050962,g1,Cache la Poudre River,G,00205018,G,http://www.cbpotts.com/,G,1996,G1
CooperSmith's Pub and Brewing,CooperSmiths-FtCollins,G,19891008581,G,5 Old Town Square,Fort Collins,CO,80524,35009,G,FtCollins,G,40.587409,-105.075655,g1,Cache la Poudre River,G,00205018,G,http://coopersmithspub.com/,G,1989,G2
Odell Brewing Company,Odell-FtCollins,G,19891038227,G,800 East Lincoln Ave,Fort Collins,CO,80524,35009,G,FtCollins,G,40.589467,-105.063182,g1,Cache la Poudre River,G,00205018,G,https://www.odellbrewing.com/,G,1989,G2
New Belgium Brewing Company,NewBelgium-FtCollins,G,19931026399,G,500 Linden St,Fort Collins,CO,80524,35009,G,FtCollins,G,40.593494,-104.967601,g1,Cache la Poudre River,G,00205018,G,http://www.newbelgium.com/Brewery,G,1993,G2
Equinox Brewing Company,Equinox-FtCollins,G,20091520154,G,133 Remington St,Fort Collins,CO,80524,35009,G,FtCollins,G,40.586344,-105.075830,g1,Cache la Poudre River,G,00205018,G,http://www.equinoxbrewing.com/,G,2009,G2
Funkwerks,Funkwerks-FtCollins,G,20091511612,G,1900 E Lincoln Ave,Fort Collins,CO,80524,35009,G,FtCollins,G,40.583199,-105.042125,g1,Cache la Poudre River,G,00205018,G,http://funkwerks.com/,G,2010,G2
Black Bottle Brewery,BlackBottle-FtCollins,G,20101237661,G,1611 South College Ave,Fort Collins,CO,80525,35009,G,FtCollins,G,40.566197,-105.078615,g1,Cache la Poudre River,G,00205018,G,https://blackbottlebrewery.com/,G,2010,G2
Pitchers Brewery,Pitchers-FtCollins,G,,z,1100 West Drake Rd,Fort Collins,CO,80526,35009,G,FtCollins,G,40.553052,-105.097381,g1,Cache la Poudre River,G,00205018,G,http://pitchersbrewery.com/,G,2013,G1
Horse and Dragon Brewing Company,HorseDragon-FtCollins,G,20131106452,G,124 Racquette Dr,Fort Collins,CO,80524,35009,G,FtCollins,G,40.589680,-105.045597,g1,Cache la Poudre River,G,00205018,G,http://www.horseanddragonbrewing.com/,G,2013,G2
Snowbank Brewing,Snowbank-FtCollins,G,20111663628,G,225 N Lemay Ave,Fort Collins,CO,80524,35009,G,FtCollins,G,40.589934,-105.058410,g1,Cache la Poudre River,G,00205018,G,http://www.snowbank.beer/#intro,G,2011,G2
Zwei Brewing,Zwei-FtCollins,G,,z,4612 South Mason St,Fort Collins,CO,80525,35009,G,FtCollins,G,40.522753,-105.078360,g1,Cache la Poudre River,G,00205018,G,http://www.zweibrewing.com/,G,2014,G1
Rally King Brewing,RallyKing-FtCollins,G,20131455057,G,1624 S Lemay Ave,Fort Collins,CO,80525,35009,G,FtCollins,G,40.566067,-105.056704,g1,Cache la Poudre River,G,00205018,G,https://rallykingbrewing.com/,G,2013,G2
Soul Squared Brewing Company,SoulSquared-FtCollins,G,20131223376,G,326 Smith St,Fort Collins,CO,80524,35009,G,FtCollins,G,40.583178,-105.068004,g1,Cache la Poudre River,G,00205018,G,https://soulsquaredbrewing.com/,G,2013,G2
McClellan's Brewing Company,McClellans-FtCollins,G,20141532224,G,1035 South Taft Hill Rd,Fort Collins,CO,80521,35009,G,FtCollins,G,40.572846,-105.115398,g1,Cache la Poudre River,G,00205018,G,http://www.mcclellansbrewingcompany.com/,G,2014,G2
Three Four Beer Company,ThreeFour-FtCollins,G,20141790998,G,829 South Shields St,Fort Collins,CO,80521,35009,G,FtCollins,G,40.575092,-105.096641,g1,Cache la Poudre River,G,00205018,G,http://www.threefourbeerco.com/,G,2014,G2
Jessup Farm Barrel House,JessupFarm-FtCollins,G,,z,1921 Jessup Dr,Fort Collins,CO,80525,35009,G,FtCollins,G,40.562033,-105.038016,g1,Cache la Poudre River,G,00205018,G,http://www.jessupfarmbarrelhouse.com/,G,2015,G1
Maxline Brewing,Maxline-FtCollins,G,,z,2724 McClelland Dr,Fort Collins,CO,80525,35009,G,FtCollins,G,40.550711,-105.079847,g1,Cache la Poudre River,G,00205018,G,http://www.maxlinebrewing.com/,G,2016,G1
Intersect Brewing,Intersect-FtCollins,G,,z,2160 West Drake Rd,Fort Collins,CO,80526,35009,G,FtCollins,G,40.554520,-105.116648,g1,Cache la Poudre River,G,00205018,G,http://intersectbrewing.com/,G,2016,G1
Gilded Goat Brewing Company,GildedGoat-FtCollins,G,,z,3500 South College Ave,Fort Collins,CO,80526,35009,G,FtCollins,G,40.539290,-105.075291,g1,Cache la Poudre River,G,00205018,G,https://gildedgoatbrewing.com/,G,2017,G1
D.C. Oakes Brewhouse and Eatery,DCOakes-FtCollins,G,20161542027,G,3581 Harmony Rd,Fort Collins,CO,80528,35009,G,FtCollins,G,40.522661,-105.011441,g1,Cache la Poudre River,G,00205018,G,https://www.dcoakesbrewhouse.com/,G,2016,G2
Purpose Brewing and Cellars,Purpose-FtCollins,G,20131179458,G,4025 South Mason Street,Fort Collins,CO,80525,35009,G,FtCollins,G,40.531163,-105.080189,g1,Cache la Poudre River,G,00205018,G,https://www.purposebrewing.com/home,G,2013,G2
