# Category classification table for HUC12 basins
# - the value corresponds to HUC12 attribute
# - the label uses HUC12 and Name values, currently hard-coded here because simple
# - old #ff3399 is pink
# - #663300 is brown
value,color,opacity,fillColor,fillOpacity,weight,label
101900070101,#663300,1.0,#663300,0.2,2,"101900070101, Beaver Creek"
101900070102,#663300,1.0,#663300,0.2,2,"101900070102, Headwaters South Fork Cache la Poudre River"
101900070103,#663300,1.0,#663300,0.2,2,"101900070103, Pennock Creek"
101900070104,#663300,1.0,#663300,0.2,2,"101900070104, Little Beaver Creek"
101900070105,#663300,1.0,#663300,0.2,2,"101900070105, Pendergrass Creek-South Fork Cache la Poudre River"
101900070201,#663300,1.0,#663300,0.2,2,"101900070201, Hague Creek"
101900070202,#663300,1.0,#663300,0.2,2,"101900070202, Headwaters Cache la Poudre River"
101900070203,#663300,1.0,#663300,0.2,2,"101900070203, La Poudre Pass Creek"
101900070204,#663300,1.0,#663300,0.2,2,"101900070204, Joe Wright Creek"
101900070205,#663300,1.0,#663300,0.2,2,"101900070205, Willow Creek-Cache la Poudre River"
101900070206,#663300,1.0,#663300,0.2,2,"101900070206, Sheep Creek"
101900070207,#663300,1.0,#663300,0.2,2,"101900070207, Roaring Creek"
101900070208,#663300,1.0,#663300,0.2,2,"101900070208, Black Hollow-Cache la Poudre River"
101900070209,#663300,1.0,#663300,0.2,2,"101900070209, Bennett Creek"
101900070210,#663300,1.0,#663300,0.2,2,"101900070210, Sevenmile Creek-Cache la Poudre River"
101900070301,#663300,1.0,#663300,0.2,2,"101900070301, Elkhorn Creek"
101900070302,#663300,1.0,#663300,0.2,2,"101900070302, Young Gulch"
101900070303,#663300,1.0,#663300,0.2,2,"101900070303, Skin Gulch-Cache la Poudre River"
101900070304,#663300,1.0,#663300,0.2,2,"101900070304, Gordon Creek"
101900070305,#663300,1.0,#663300,0.2,2,"101900070305, Hill Gulch-Cache la Poudre River"
101900070401,#663300,1.0,#663300,0.2,2,"101900070401, Upper Dale Creek"
101900070402,#663300,1.0,#663300,0.2,2,"101900070402, Fish Creek"
101900070403,#663300,1.0,#663300,0.2,2,"101900070403, Deadman Creek"
101900070404,#663300,1.0,#663300,0.2,2,"101900070404, Lower Dale Creek"
101900070501,#663300,1.0,#663300,0.2,2,"101900070501, George Creek-Sheep Creek"
101900070502,#663300,1.0,#663300,0.2,2,"101900070502, Panhandle Creek-North Fork Cache la Poudre River"
101900070503,#663300,1.0,#663300,0.2,2,"101900070503, Trail Creek"
101900070504,#663300,1.0,#663300,0.2,2,"101900070504, Bull Creek-North Fork Cache la Poudre River"
101900070601,#663300,1.0,#663300,0.2,2,"101900070601, South Fork Lone Pine Creek"
101900070602,#663300,1.0,#663300,0.2,2,"101900070602, North Fork Lone Pine Creek"
101900070603,#663300,1.0,#663300,0.2,2,"101900070603, Lone Pine Creek"
101900070701,#663300,1.0,#663300,0.2,2,"101900070701, Halligan Reservoir-North Fork Cache la Poudre River"
101900070702,#663300,1.0,#663300,0.2,2,"101900070702, Rabbit Creek"
101900070703,#663300,1.0,#663300,0.2,2,"101900070703, Stonewall Creek"
101900070704,#663300,1.0,#663300,0.2,2,"101900070704, Milton Seaman Reservoir-North Fork Cache la Poudre River"
101900070801,#663300,1.0,#663300,0.2,2,"101900070801, Owl Creek"
101900070802,#663300,1.0,#663300,0.2,2,"101900070802, Horsetooth Reservoir"
101900070803,#663300,1.0,#663300,0.2,2,"101900070803, Headwaters Dry Creek"
101900070804,#663300,1.0,#663300,0.2,2,"101900070804, Douglas Reservoir-Dry Creek"
101900070805,#663300,1.0,#663300,0.2,2,"101900070805, City of Fort Collins-Cache la Poudre River"
101900070901,#663300,1.0,#663300,0.2,2,"101900070901, Rawhide Creek"
101900070902,#663300,1.0,#663300,0.2,2,"101900070902, Upper Boxelder Creek"
101900070903,#663300,1.0,#663300,0.2,2,"101900070903, Coal Creek"
101900070904,#663300,1.0,#663300,0.2,2,"101900070904, Indian Creek"
101900070905,#663300,1.0,#663300,0.2,2,"101900070905, Lower Boxelder Creek"
101900071001,#663300,1.0,#663300,0.2,2,"101900071001, Timnath Reservoir"
101900071002,#663300,1.0,#663300,0.2,2,"101900071002, Fossil Creek Reservoir-Cache la Poudre River"
101900071003,#663300,1.0,#663300,0.2,2,"101900071003, Windsor Reservoir"
101900071004,#663300,1.0,#663300,0.2,2,"101900071004, Sheep Draw"
101900071005,#663300,1.0,#663300,0.2,2,"101900071005, Oklahoma Reservoir-Cache la Poudre River"
101900071006,#663300,1.0,#663300,0.2,2,"101900071006, Coalbank Creek"
101900071007,#663300,1.0,#663300,0.2,2,"101900071007, Eaton Draw"
101900071008,#663300,1.0,#663300,0.2,2,"101900071008, Outlet Cache la Poudre River"
