# Category classification table for CO counties.
# - the value corresponds to COUNTY attribute
# - the symbol for most counties is the same
# - the label uses COUNTY value, currently hard-coded here because simple
value,color,opacity,fillColor,fillOpacity,weight,label
# Larimer and Weld, which include the Poudre and directly physically benefit
# - dark green
LARIMER,#59b300,1.0,#59b300,0.3,5,"Larimer - Poudre in County"
WELD,#59b300,1.0,#59b300,0.3,5,"Weld - Poudre in County"
# Counties that provide water to the Poudre via transbasin diversions
# - light blue
JACKSON,#003cb3,1.0,#003cb3,0.3,2,"JACKSON - Transbasin diversion to Poudre"
GRAND,#003cb3,1.0,#003cb3,0.3,2,"GRAND - Transbasin diversion to Poudre"
# Counties that do transfers out of the basin via transbasin diversions
# - yellow for planned
# - reddish for actual #b30000
ADAMS,#ffff00,1.0,#ffff00,0.3,2,"ADAMS - Transbasin diversion from Poudre - Thornton (future)"
# Counties in Division 1
# - light green, #b3ff66
ARAPAHOE,#b3ff66,1.0,#b3ff66,0.3,2,"ARAPAHOE - South Platte (Division 1) Counties"
BOULDER,#b3ff66,1.0,#b3ff66,0.3,2,"BOULDER"
CHEYENNE,#b3ff66,1.0,#b3ff66,0.3,2,"CHEYENNE"
CLEAR CREEK,#b3ff66,1.0,#b3ff66,0.3,2,"CLEAR CREAK"
DOUGLAS,#b3ff66,1.0,#b3ff66,0.3,2,"DOUGLAS"
ELBERT,#b3ff66,1.0,#b3ff66,0.3,2,"ELBERT"
EL PASO,#b3ff66,1.0,#b3ff66,0.3,2,"EL PASO"
GILPIN,#b3ff66,1.0,#b3ff66,0.3,2,"GILPIN"
JEFFERSON,#b3ff66,1.0,#b3ff66,0.3,2,"JEFFERSON"
KIT CARSON,#b3ff66,1.0,#b3ff66,0.3,2,"KIT CARSON"
LINCOLN,#b3ff66,1.0,#b3ff66,0.3,2,"LINCOLN"
LOGAN,#b3ff66,1.0,#b3ff66,0.3,2,"LOGAN"
MORGAN,#b3ff66,1.0,#b3ff66,0.3,2,"MORGAN"
PARK,#b3ff66,1.0,#b3ff66,0.3,2,"PARK"
PHILLIPS,#b3ff66,1.0,#b3ff66,0.3,2,"PHILLIPS"
SEDGWICK,#b3ff66,1.0,#b3ff66,0.3,2,"SEDGWICK"
TELLER,#b3ff66,1.0,#b3ff66,0.3,2,"TELLER"
WASHINGTON,#b3ff66,1.0,#b3ff66,0.3,2,"WASHINGTON"
YUMA,#b3ff66,1.0,#b3ff66,0.3,2,"YUMA"
# All other counties
# - grey boundary, full transparency #f2f2f2 (#3b3b3b was too dark)
ALAMOSA,#f2f2f2,1.0,#f2f2f2,0.0,2,"ALAMOSA - Other Counties"
ARCHULETA,#f2f2f2,1.0,#f2f2f2,0.0,2,"ARCHULETA"
BACA,#f2f2f2,1.0,#f2f2f2,0.0,2,"BACA"
BENT,#f2f2f2,1.0,#f2f2f2,0.0,2,"BENT"
BROOMFIELD,#f2f2f2,1.0,#f2f2f2,0.0,2,"BROOMFIELD"
CHAFFEE,#f2f2f2,1.0,#f2f2f2,0.0,2,"CHAFFEE"
CONEJOS,#f2f2f2,1.0,#f2f2f2,0.0,2,"CONEJOS"
COSTILLA,#f2f2f2,1.0,#f2f2f2,0.0,2,"COSTILLA"
CROWLEY,#f2f2f2,1.0,#f2f2f2,0.0,2,"CROWLEY"
CUSTER,#f2f2f2,1.0,#f2f2f2,0.0,2,"CUSTER"
DELTA,#f2f2f2,1.0,#f2f2f2,0.0,2,"DELTA"
DENVER,#f2f2f2,1.0,#f2f2f2,0.0,2,"DENVER"
DOLORES,#f2f2f2,1.0,#f2f2f2,0.0,2,"DOLORES"
EAGLE,#f2f2f2,1.0,#f2f2f2,0.0,2,"EAGLE"
FREMONT,#f2f2f2,1.0,#f2f2f2,0.0,2,"FREMONT"
GARFIELD,#f2f2f2,1.0,#f2f2f2,0.0,2,"GARFIELD"
GUNNISON,#f2f2f2,1.0,#f2f2f2,0.0,2,"GUNNISON"
HINSDALE,#f2f2f2,1.0,#f2f2f2,0.0,2,"HINSDALE"
HUERFANO,#f2f2f2,1.0,#f2f2f2,0.0,2,"HUERFANO"
KIOWA,#f2f2f2,1.0,#f2f2f2,0.0,2,"KIOWA"
LA PLATA,#f2f2f2,1.0,#f2f2f2,0.0,2,"LA PLATA"
LAKE,#f2f2f2,1.0,#f2f2f2,0.0,2,"LAKE"
LARIMER,#f2f2f2,1.0,#f2f2f2,0.0,2,"LARIMER"
LAS ANIMAS,#f2f2f2,1.0,#f2f2f2,0.0,2,"LAS ANIMAS"
MESA,#f2f2f2,1.0,#f2f2f2,0.0,2,"MESA"
MINERAL,#f2f2f2,1.0,#f2f2f2,0.0,2,"MINERAL"
MOFFAT,#f2f2f2,1.0,#f2f2f2,0.0,2,"MOFFAT"
MONTEZUMA,#f2f2f2,1.0,#f2f2f2,0.0,2,"MONTEZUMA"
MONTROSE,#f2f2f2,1.0,#f2f2f2,0.0,2,"MONTROSE"
OTERO,#f2f2f2,1.0,#f2f2f2,0.0,2,"OTERO"
OURAY,#f2f2f2,1.0,#f2f2f2,0.0,2,"OURAY"
PITKIN,#f2f2f2,1.0,#f2f2f2,0.0,2,"PITKIN"
PROWERS,#f2f2f2,1.0,#f2f2f2,0.0,2,"PROWERS"
PUEBLO,#f2f2f2,1.0,#f2f2f2,0.0,2,"PUEBLO"
RIO BLANCO,#f2f2f2,1.0,#f2f2f2,0.0,2,"RIO BLANCO"
RIO GRANDE,#f2f2f2,1.0,#f2f2f2,0.0,2,"RIO GRANDE"
ROUTT,#f2f2f2,1.0,#f2f2f2,0.0,2,"ROUTT"
SAGUACHE,#f2f2f2,1.0,#f2f2f2,0.0,2,"SAGUACHE"
SAN JUAN,#f2f2f2,1.0,#f2f2f2,0.0,2,"SAN JUAN"
SAN MIGUEL,#f2f2f2,1.0,#f2f2f2,0.0,2,"SAN MIGUEL"
SUMMIT,#f2f2f2,1.0,#f2f2f2,0.0,2,"SUMMIT"
